
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/combined_evidence_fbd.Rev")
   Processing file "scripts/combined_evidence_fbd.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'
   Successfully read one character matrix from file 'data/morpho.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 51 different moves in a random move schedule with 115 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   clock_morp..      |clock_morp..      |clock_morp..   |   clock_nucl..   |      root_time   |    elapsed   |        ETA   |
7500        |   -2.61239e+06   |   -2.60211e+06   |       -10279.9   |        11.0758      |     10.9939      |     1.39065   |      0.2478052   |       17.90805   |   05:29:39   |   67:45:41   |
7600        |   -2.61239e+06   |   -2.60211e+06   |         -10276   |        10.6437      |     11.7328      |     1.30343   |      0.2477482   |       13.24683   |   05:34:08   |   67:42:21   |
7700        |   -2.61238e+06   |   -2.60211e+06   |       -10265.5   |        10.6437      |     11.7328      |    0.957186   |      0.2474156   |       19.61281   |   05:38:15   |   67:34:36   |
7800        |   -2.61238e+06   |   -2.60211e+06   |       -10270.1   |        10.2645      |     10.3395      |     1.23254   |      0.2466728   |       17.47212   |   05:42:08   |   67:24:11   |
7900        |   -2.61237e+06   |   -2.60211e+06   |       -10262.7   |         9.8617      |     10.8333      |     1.06321   |      0.2467081   |        24.1536   |   05:46:38   |   67:21:07   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   clock_morp..      |clock_morp..      |clock_morp..   |   clock_nucl..   |      root_time   |    elapsed   |        ETA   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8000        |   -2.61238e+06   |   -2.60211e+06   |       -10270.9   |        12.0938      |     10.9677      |     1.15257   |      0.2471703   |       28.95745   |   05:51:09   |   67:18:13   |
8100        |   -2.61236e+06   |   -2.60211e+06   |         -10241   |        9.40825      |     10.9499      |     1.03794   |      0.2480629   |       24.66708   |   05:55:00   |   67:07:42   |
8200        |   -2.61235e+06   |   -2.60211e+06   |       -10236.3   |        8.76104      |     11.9936      |     1.12199   |       0.245489   |        17.4806   |   05:59:11   |   67:01:06   |
8300        |   -2.61235e+06   |   -2.60211e+06   |       -10237.7   |        10.5697      |      11.192      |     1.11973   |      0.2468828   |       29.82691   |   06:03:19   |   66:53:59   |
8400        |   -2.61237e+06   |   -2.60211e+06   |       -10256.1   |        10.3902      |     13.2256      |     1.22517   |      0.2474863   |         24.233   |   06:07:23   |   66:46:13   |
8500        |   -2.61237e+06   |   -2.60211e+06   |       -10262.3   |        10.8896      |     14.2373      |     1.29869   |       0.246676   |       27.93325   |   06:11:39   |   66:40:42   |
8600        |   -2.61236e+06   |   -2.60211e+06   |       -10253.8   |        8.76875      |     10.0946      |     1.15911   |      0.2461909   |        21.7213   |   06:15:28   |   66:30:25   |
8700        |   -2.61239e+06   |   -2.60211e+06   |       -10277.4   |        8.52015      |     8.24104      |      1.3926   |      0.2461013   |       28.30858   |   06:19:19   |   66:20:38   |
8800        |   -2.61239e+06   |   -2.60211e+06   |       -10279.5   |        10.6222      |      10.497      |     1.21427   |       0.245331   |       13.95295   |   06:23:14   |   66:11:41   |
8900        |   -2.61239e+06   |   -2.60211e+06   |       -10281.5   |        9.16571      |      12.471      |     1.04098   |      0.2461167   |       16.34128   |   06:27:17   |   66:04:12   |
9000        |   -2.61237e+06   |   -2.60211e+06   |       -10259.6   |        9.16571      |     8.71798      |     1.06409   |      0.2452105   |       17.44234   |   06:31:39   |   66:00:01   |
9100        |   -2.61237e+06   |   -2.60211e+06   |       -10262.6   |        7.88469      |     10.5615      |     1.04733   |      0.2450417   |       16.85269   |   06:35:50   |   65:53:59   |
9200        |   -2.61238e+06   |   -2.60211e+06   |       -10265.4   |        8.14869      |     12.1346      |    0.920245   |      0.2442311   |         10.944   |   06:40:02   |   65:48:09   |
9300        |   -2.61239e+06   |   -2.60211e+06   |       -10277.3   |        9.92992      |     10.7746      |     1.23085   |      0.2443807   |       10.81111   |   06:44:12   |   65:42:02   |
9400        |   -2.61237e+06   |   -2.60211e+06   |       -10265.9   |         10.962      |      14.099      |     1.10257   |      0.2436368   |       28.05062   |   06:48:22   |   65:35:57   |
9500        |   -2.61236e+06   |   -2.60211e+06   |         -10252   |        12.0614      |     11.7868      |    0.994947   |      0.2436927   |       23.47356   |   06:52:40   |   65:31:11   |
9600        |   -2.61238e+06   |   -2.60211e+06   |         -10275   |        11.3271      |     12.8368      |     1.03454   |      0.2439359   |       10.88099   |   06:56:57   |   65:26:16   |
9700        |   -2.61238e+06   |   -2.60211e+06   |       -10267.8   |        10.3721      |     10.8188      |     1.13252   |      0.2437259   |       12.86634   |   07:01:18   |   65:21:59   |
9800        |   -2.61238e+06   |   -2.60211e+06   |       -10268.8   |        12.9282      |     13.0538      |     1.13252   |      0.2443212   |       24.83792   |   07:05:21   |   65:14:57   |
9900        |   -2.61235e+06   |   -2.60211e+06   |       -10240.6   |        14.8596      |     16.8542      |     1.13252   |      0.2443618   |        15.3302   |   07:09:40   |   65:10:24   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   clock_morp..      |clock_morp..      |clock_morp..   |   clock_nucl..   |      root_time   |    elapsed   |        ETA   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
10000       |   -2.61234e+06   |   -2.60211e+06   |       -10235.2   |         10.967      |     13.3727      |    0.936932   |      0.2452619   |       28.59075   |   07:13:46   |   65:03:54   |
10100       |   -2.61237e+06   |   -2.60211e+06   |       -10254.3   |        14.0446      |     12.7728      |    0.857088   |      0.2455094   |       27.44034   |   07:17:50   |   64:57:09   |
10200       |   -2.61238e+06   |   -2.60211e+06   |       -10267.6   |        14.3693      |     18.4916      |     1.15709   |      0.2457733   |       19.59787   |   07:21:49   |   64:49:43   |
10300       |   -2.61238e+06   |   -2.60211e+06   |       -10266.3   |         13.828      |     13.6035      |     1.11753   |      0.2457149   |        14.4903   |   07:25:54   |   64:43:13   |
