Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	pi[1]	pi[2]	pi[3]	pi[4]
43	1	-2544230	-2544249	19.05304	0.00498586	0.0127098	0.00401503	0.102477	0.00199697	0.0950203	0.0401997	0.114898	0.731836	0.0033341	0.00770248	0.0296207	0.00807334	0.00438602	0.00263817	0.00741801	0.0147282	0.272615	0	0.228371	0.225823	0	0.27319	0.272615	0.228371	0.225823	0.27319	0.281391	0.216551	0.218819	0.283239
44	0	-2544501	-2544520	19.05319	0.00551045	0.0127274	0.00428502	0.101212	0.0020983	0.0943063	0.0398717	0.118745	0.730885	0.00329343	0.00768073	0.00459385	0.03417	0.00436516	0.00258988	0.004389	0.0153004	0.269616	0	0.230313	0.226878	0	0.273193	0.269616	0.230313	0.226878	0.273193	0.284305	0.217105	0.216511	0.282078
45	1	-2544228	-2544247	19.01311	0.00484854	0.0127827	0.00399077	0.102572	0.00200017	0.0950638	0.0403705	0.116111	0.734908	0.00325175	0.00780092	0.0293381	0.00793693	0.00439921	0.00269063	0.00733545	0.0146313	0.272062	0	0.231102	0.224199	0	0.272636	0.272062	0.231102	0.224199	0.272636	0.281391	0.216551	0.218819	0.283239
46	0	-2544497	-2544516	19.03575	0.0054491	0.0124817	0.00444291	0.101101	0.00209776	0.093965	0.0400246	0.118457	0.733468	0.00332921	0.00773941	0.00445964	0.0338692	0.0042723	0.00253043	0.00440643	0.0156753	0.269713	0	0.230396	0.22696	0	0.27293	0.269713	0.230396	0.22696	0.27293	0.28369	0.217292	0.216697	0.282321
47	1	-2544230	-2544249	19.01238	0.00531335	0.0126046	0.00373167	0.102493	0.00211598	0.0953741	0.0400278	0.115234	0.736411	0.00334137	0.00768341	0.0291	0.00751256	0.00435853	0.00268202	0.00714618	0.0149761	0.274404	0	0.230359	0.223478	0	0.271759	0.274404	0.230359	0.223478	0.271759	0.281391	0.216551	0.218819	0.283239
48	0	-2544498	-2544517	19.02524	0.00552691	0.0130074	0.00428366	0.101646	0.00210854	0.0944969	0.0403812	0.1184	0.732025	0.00327082	0.00774074	0.00448949	0.0343422	0.00439313	0.00255298	0.00452343	0.0156309	0.269713	0	0.230396	0.22696	0	0.27293	0.269713	0.230396	0.22696	0.27293	0.28369	0.217292	0.216697	0.282321
49	1	-2544228	-2544247	19.00357	0.00549408	0.0125612	0.00395667	0.10245	0.00198928	0.0948341	0.0399863	0.114836	0.737833	0.00316791	0.00755519	0.0292063	0.00784365	0.00454241	0.00261318	0.00740974	0.0147073	0.274404	0	0.230359	0.223478	0	0.271759	0.274404	0.230359	0.223478	0.271759	0.28214	0.217127	0.21674	0.283993
50	0	-2544496	-2544515	19.0391	0.00540477	0.0125111	0.00421309	0.101727	0.00206294	0.0944947	0.0397593	0.117838	0.73317	0.00330034	0.00771745	0.00443452	0.0337641	0.00439297	0.00255438	0.00453205	0.0155561	0.270213	0	0.228954	0.227381	0	0.273452	0.270213	0.228954	0.227381	0.273452	0.28369	0.217292	0.216697	0.282321
51	1	-2544224	-2544243	19.02721	0.00533225	0.0124925	0.00387307	0.101927	0.00196524	0.0950176	0.0400603	0.115613	0.73518	0.00324817	0.00762009	0.029217	0.00765425	0.00454844	0.00258006	0.00735549	0.0149383	0.274404	0	0.230359	0.223478	0	0.271759	0.274404	0.230359	0.223478	0.271759	0.281954	0.217183	0.216796	0.284066
52	0	-2544493	-2544512	19.03858	0.00554958	0.0127398	0.00435252	0.101826	0.00199506	0.0945291	0.0400314	0.118148	0.731466	0.00336371	0.00777733	0.00443524	0.0341351	0.00442448	0.00260583	0.00433721	0.0157695	0.270619	0	0.229297	0.226221	0	0.273863	0.270619	0.229297	0.226221	0.273863	0.28369	0.217292	0.216697	0.282321
53	1	-2544225	-2544244	19.03558	0.00510486	0.0129499	0.00391509	0.102342	0.00210772	0.0943218	0.0401393	0.115083	0.73428	0.00334571	0.00774179	0.0293943	0.00764573	0.00437503	0.0026175	0.00733482	0.0150873	0.274404	0	0.230359	0.223478	0	0.271759	0.274404	0.230359	0.223478	0.271759	0.281954	0.217183	0.216796	0.284066
54	0	-2544499	-2544518	19.03902	0.0056097	0.0123343	0.00432872	0.102152	0.00206532	0.0945303	0.0402363	0.117728	0.731729	0.00334513	0.0075567	0.00412009	0.0344829	0.00437932	0.00252852	0.00453833	0.0157772	0.270619	0	0.229297	0.226221	0	0.273863	0.270619	0.229297	0.226221	0.273863	0.28369	0.217292	0.216697	0.282321
55	1	-2544223	-2544242	19.03024	0.00477586	0.0127473	0.00390867	0.102705	0.00201915	0.0953398	0.0398153	0.115419	0.734089	0.00324158	0.00766342	0.0292276	0.00806642	0.00443873	0.00265253	0.00726364	0.0149464	0.274404	0	0.230359	0.223478	0	0.271759	0.274404	0.230359	0.223478	0.271759	0.281954	0.217183	0.216796	0.284066
56	0	-2544499	-2544518	19.02786	0.00590428	0.0128822	0.00433299	0.101927	0.00189701	0.0945037	0.040053	0.119218	0.732605	0.00326298	0.00729349	0.00426065	0.0335666	0.00437486	0.00265008	0.00443766	0.0153876	0.270619	0	0.229297	0.226221	0	0.273863	0.270619	0.229297	0.226221	0.273863	0.28369	0.217292	0.216697	0.282321
57	1	-2544233	-2544252	19.03589	0.00519201	0.0128565	0.00399159	0.102406	0.00206315	0.0935822	0.0398282	0.114173	0.735699	0.00320692	0.00766585	0.0297281	0.00767816	0.0045214	0.00266125	0.00761411	0.0148878	0.274404	0	0.230359	0.223478	0	0.271759	0.274404	0.230359	0.223478	0.271759	0.281954	0.217183	0.216796	0.284066
58	0	-2544494	-2544513	19.05286	0.00565685	0.0126585	0.00444058	0.101837	0.00200823	0.0944154	0.0399143	0.118242	0.730981	0.00315067	0.00739639	0.0044042	0.033967	0.00435077	0.00257311	0.00457231	0.0154897	0.270619	0	0.229297	0.226221	0	0.273863	0.270619	0.229297	0.226221	0.273863	0.28369	0.217292	0.216697	0.282321
59	1	-2544224	-2544243	19.02814	0.00517382	0.0125099	0.00393831	0.102839	0.00190859	0.0953773	0.0400445	0.114892	0.734132	0.00344066	0.00773262	0.0293038	0.00782714	0.00445627	0.0025613	0.00746831	0.0149243	0.274404	0	0.230359	0.223478	0	0.271759	0.274404	0.230359	0.223478	0.271759	0.282026	0.216983	0.216852	0.284139
60	0	-2544495	-2544514	19.01184	0.00560586	0.0126672	0.00428361	0.101625	0.00217773	0.094103	0.040405	0.118499	0.734395	0.00333872	0.007677	0.00435734	0.0338324	0.004285	0.00258316	0.00439831	0.0159271	0.270619	0	0.229297	0.226221	0	0.273863	0.270619	0.229297	0.226221	0.273863	0.28369	0.217292	0.216697	0.282321
61	1	-2544226	-2544245	19.05234	0.00528123	0.0129032	0.00387273	0.102223	0.00203199	0.0958832	0.0397946	0.115311	0.731789	0.0032977	0.00756909	0.0291593	0.00782385	0.00455112	0.0025986	0.00718387	0.0148368	0.274404	0	0.230359	0.223478	0	0.271759	0.274404	0.230359	0.223478	0.271759	0.282026	0.216983	0.216852	0.284139
62	0	-2544497	-2544516	19.03852	0.00555528	0.0123957	0.00446638	0.102162	0.00204352	0.0951152	0.0396631	0.118362	0.731382	0.00326876	0.00762805	0.00438923	0.03408	0.00444218	0.00254101	0.00434392	0.0156538	0.271383	0	0.229944	0.226859	0	0.271814	0.271383	0.229944	0.226859	0.271814	0.28369	0.217292	0.216697	0.282321
63	1	-2544227	-2544246	19.02817	0.00541679	0.0123032	0.00383034	0.103212	0.00201388	0.0946135	0.0397174	0.115759	0.734575	0.00321209	0.00768567	0.0293264	0.00751906	0.00444783	0.00264546	0.00739207	0.0148572	0.274404	0	0.230359	0.223478	0	0.271759	0.274404	0.230359	0.223478	0.271759	0.282026	0.216983	0.216852	0.284139
64	0	-2544499	-2544518	19.0371	0.00588269	0.0127205	0.00416609	0.102159	0.00212082	0.0947646	0.0396396	0.118509	0.731819	0.00336688	0.00731894	0.0041731	0.0337746	0.00434532	0.0027163	0.00439102	0.0157659	0.271383	0	0.229944	0.226859	0	0.271814	0.271383	0.229944	0.226859	0.271814	0.28369	0.217292	0.216697	0.282321
65	1	-2544223	-2544242	19.04176	0.00516841	0.0129326	0.00382569	0.102403	0.0020242	0.0949391	0.0398451	0.115136	0.733349	0.00332733	0.0075466	0.0293449	0.00773356	0.00462509	0.0026883	0.00729308	0.0149853	0.274404	0	0.230359	0.223478	0	0.271759	0.274404	0.230359	0.223478	0.271759	0.282026	0.216983	0.216852	0.284139
66	0	-2544496	-2544515	19.01351	0.0055586	0.0124805	0.0044037	0.10244	0.00199625	0.0949667	0.0398719	0.118688	0.733559	0.00333071	0.00746719	0.00443768	0.03398	0.00437369	0.00262616	0.00431809	0.0154953	0.271383	0	0.229944	0.226859	0	0.271814	0.271383	0.229944	0.226859	0.271814	0.28361	0.217231	0.216918	0.282241
67	1	-2544227	-2544246	19.00738	0.00525373	0.0125025	0.0040239	0.103081	0.00207059	0.0948202	0.0399868	0.115252	0.737144	0.00327861	0.0075124	0.0288543	0.00745138	0.00445774	0.00263329	0.00738351	0.0149006	0.274404	0	0.230359	0.223478	0	0.271759	0.274404	0.230359	0.223478	0.271759	0.282535	0.217375	0.217243	0.282847
68	0	-2544500	-2544519	19.04503	0.00571686	0.0125139	0.00426299	0.10096	0.00205867	0.0949362	0.0402196	0.117452	0.732301	0.0031979	0.00754996	0.00464842	0.0341423	0.00432588	0.00261711	0.00455035	0.0153869	0.271383	0	0.229944	0.226859	0	0.271814	0.271383	0.229944	0.226859	0.271814	0.28361	0.217231	0.216918	0.282241
69	1	-2544233	-2544252	19.07385	0.00543185	0.0128415	0.00368445	0.10193	0.00198919	0.0957023	0.0399928	0.114209	0.73062	0.00323957	0.00750031	0.0294863	0.00734526	0.00460934	0.00268973	0.00758474	0.0151021	0.274404	0	0.230359	0.223478	0	0.271759	0.274404	0.230359	0.223478	0.271759	0.282112	0.217503	0.217371	0.283014
