Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	pi_scale
840	-208.0738	-223.705	15.63119	0.231656	0.00530416	0.0188274	0.0995956	0.0313076	0.0122234	0.0746054	0.0522506	0.0454792	0.00099428	0.100964	0.0945404	0.121443	0.0728013	0.0390591	0.035772	0.0186784	1.064238
850	-213.8402	-226.4434	12.60323	0.220938	0.0284655	0.010065	0.177975	0.0427177	0.00156563	0.0526295	0.00579455	0.029772	0.00673471	0.218385	0.056239	0.184168	0.0947489	0.0104597	0.0777662	0.0200102	2.563329
860	-208.9543	-224.644	15.68973	0.130606	0.0458743	0.00254241	0.125895	0.00027574	0.0380288	0.0763257	0.0836191	0.0443693	0.00366233	0.13236	0.0148244	0.24652	0.0423462	0.0444303	0.0347976	0.00981533	0.8022241
870	-210.5442	-224.1479	13.60369	0.257618	0.0632844	0.00935853	0.0929841	0.0179464	0.0777552	0.0259562	0.0107765	0.0125304	0.0165958	0.196216	0.0697162	0.164033	0.0537678	0.0560832	0.083837	0.000585983	1.606817
880	-204.7409	-222.6897	17.94879	0.266298	0.00558548	0.000161685	0.0213623	0.000879552	0.010884	0.0302055	0.0149734	0.0130294	0.00401113	0.111444	0.0194859	0.108468	0.0700754	0.0176018	0.0850701	0.000881878	1.537169
890	-207.0777	-223.301	16.22335	0.183954	0.0213061	0.00586145	0.205817	0.0239482	0.0194486	0.0909722	0.00390323	0.00559791	0.000138934	0.0626933	0.0101931	0.224444	0.0701143	0.0170921	0.0368258	0.02661	0.9378354
900	-208.1823	-224.5396	16.35728	0.179831	0.0675803	0.0437289	0.152052	0.00480623	0.0198809	0.00642312	0.0148669	0.0315991	0.0511506	0.0810228	0.0351743	0.149143	0.0509192	0.0385015	0.0596717	0.0112838	0.9171621
910	-211.0201	-224.6512	13.6311	0.314489	0.0242879	0.0166704	0.166507	0.0503868	0.0126423	0.110588	0.0202218	0.0759361	0.0170625	0.0724976	0.0724982	0.124733	0.0461566	0.0158303	0.0585513	0.0222467	1.431929
920	-203.4611	-221.3148	17.85371	0.183895	0.0292192	0.00270899	0.085064	0.0174475	0.0703037	0.0619961	0.00463947	0.0138253	0.0139421	0.0602827	0.0204915	0.162191	0.0495914	0.0193591	0.0559256	0.000432683	0.8847857
930	-203.1769	-218.7783	15.60135	0.258336	0.0253258	0.00590927	0.103695	0.00324913	0.0182665	0.010811	0.0138332	0.0106509	0.00500073	0.0694029	0.0102639	0.231923	0.0679619	0.0191706	0.152313	0.0496676	1.091905
940	-200.6955	-217.2408	16.54528	0.174788	0.0062345	0.000643426	0.132697	0.0436482	0.0126325	0.0348421	0.0199076	0.022717	0.0032579	0.126659	0.0416181	0.188091	0.0458064	0.00737902	0.0945492	0.0159297	0.9906097
950	-214.9263	-225.7205	10.79422	0.436378	0.0458462	0.00137591	0.219845	0.00329162	0.0308733	0.0547375	0.0182528	0.0572703	0.00332003	0.147684	0.063745	0.12125	0.216258	0.0108595	0.0710611	0.00205135	1.442109
960	-214.973	-228.8951	13.92206	0.127713	0.022959	0.0102971	0.121089	0.0647561	0.0357489	0.0138061	0.0217252	0.017479	0.000841406	0.148302	0.156895	0.383822	0.00238117	0.0100859	0.0311142	0.0456591	1.185943
970	-203.7031	-220.6081	16.90493	0.164594	0.0115878	0.00719831	0.103032	0.0125745	0.00482039	0.0239746	0.0403195	0.0362618	0.0117132	0.071021	0.0500571	0.236915	0.0707594	0.022985	0.0126112	0.038743	1.156716
980	-208.1427	-221.4032	13.26045	0.445425	0.0241074	0.00909593	0.128823	0.00830279	0.0043084	0.0396009	0.0373191	0.00537744	0.0337445	0.201146	0.0136751	0.177719	0.044227	0.0843236	0.00386334	0.0166507	1.219104
990	-205.2013	-224.6464	19.44515	0.192049	0.00323862	0.0076947	0.088766	0.0148429	0.0330015	0.0252978	0.0141521	0.00546356	0.00322079	0.0821272	0.00550928	0.0478407	0.0447796	0.0502868	0.0035059	0.0233542	1.373024
1000	-210.7506	-226.0142	15.26362	0.171459	0.0285046	0.0082481	0.128699	0.0624774	0.0130646	0.0217946	0.0195198	0.0914854	0.0032191	0.0794273	0.0185483	0.233551	0.0101085	0.0550646	0.00622255	0.0406719	2.273349
1010	-203.1072	-219.6157	16.50849	0.191659	0.0208726	0.00553324	0.132092	0.000631826	0.0467769	0.0122944	0.0233375	0.0841341	0.0237575	0.160555	0.00662458	0.127463	0.0371942	0.0812317	0.00482638	0.0117708	1.033999
1020	-213.4272	-225.4742	12.04696	0.268053	0.0490793	0.0072039	0.116861	0.0207397	0.000730496	0.0315435	0.00477043	0.0550568	0.0175551	0.238012	0.00343662	0.207714	0.127573	0.144324	0.0223345	0.0798821	1.264052
1030	-208.2901	-222.6713	14.38122	0.222548	0.000424021	0.0152995	0.131081	0.0265659	0.0374343	0.0293421	0.0606864	0.0168521	0.0111902	0.181386	0.0287958	0.144861	0.122879	0.0663356	0.00145938	0.0322054	1.630178
1040	-201.0074	-217.2983	16.29094	0.156946	0.01562	0.00985495	0.191869	0.00296493	0.0324563	0.0382114	0.0237536	0.0497451	0.00196113	0.135549	0.00564237	0.211257	0.0311432	0.0878721	0.00156097	0.000715867	0.9877186
1050	-203.9911	-220.3615	16.37043	0.213503	0.0236503	0.00436311	0.172919	0.00336847	0.0128349	0.0195368	0.00485895	0.0760353	0.0115635	0.104898	0.0452941	0.0788437	0.0445385	0.0677344	0.0297242	0.00143168	1.819632
1060	-205.2254	-220.1011	14.87567	0.273121	0.0260039	0.000112419	0.0870417	0.0345684	0.034562	0.0164958	0.0766593	0.0299372	0.00111271	0.17162	0.0150575	0.134756	0.0782276	0.0633179	0.00673267	0.0110898	1.872792
1070	-208.8396	-222.7152	13.87555	0.310331	0.0123002	0.0247689	0.141183	0.0113775	0.0119284	0.0273434	0.00812318	0.0495479	0.0673013	0.117497	0.0273842	0.192573	0.036206	0.069715	0.0855134	0.000785746	1.46598
